"","coeff"
"(Intercept)",3.5907477789786
"sample.precip.zip$snow",-0.0157804670514505
"sample.precip.zip$rain",0.0414489263785599
"factor(sample.precip.zip$zipcodes)10025",-1.0608657423894
"factor(sample.precip.zip$zipcodes)10026",-1.00152011919008
"factor(sample.precip.zip$zipcodes)10027",-1.27905662188516
"factor(sample.precip.zip$zipcodes)10029",-1.17819987939782
"factor(sample.precip.zip$zipcodes)10030",-1.3160335035865
"factor(sample.precip.zip$zipcodes)10031",-0.888959306543626
"factor(sample.precip.zip$zipcodes)10032",0.226368054714382
"factor(sample.precip.zip$zipcodes)10033",0.529527714201155
"factor(sample.precip.zip$zipcodes)10034",-0.894989211862576
"factor(sample.precip.zip$zipcodes)10035",-1.26927945409439
"factor(sample.precip.zip$zipcodes)10037",-0.886851367051726
"factor(sample.precip.zip$zipcodes)10038",4.15425222102195
"factor(sample.precip.zip$zipcodes)10039",-1.1475615921781
"factor(sample.precip.zip$zipcodes)10040",-0.732703312355101
"factor(sample.precip.zip$zipcodes)10044",-0.977364673981679
"factor(sample.precip.zip$zipcodes)10115",-0.146319704280126
"factor(sample.precip.zip$zipcodes)10128",-0.929927116811432
"factor(sample.precip.zip$zipcodes)10303",0.564512376705709
"factor(sample.precip.zip$zipcodes)10306",-3.4149673119282
"factor(sample.precip.zip$zipcodes)10422",2.03673459892735
"factor(sample.precip.zip$zipcodes)10451",-1.30443617159216
"factor(sample.precip.zip$zipcodes)10452",-0.734760144629139
"factor(sample.precip.zip$zipcodes)10453",-1.68274160335834
"factor(sample.precip.zip$zipcodes)10454",-1.72457271778451
"factor(sample.precip.zip$zipcodes)10455",-0.594960279472191
"factor(sample.precip.zip$zipcodes)10456",-1.54148078723834
"factor(sample.precip.zip$zipcodes)10457",-0.553989529184292
"factor(sample.precip.zip$zipcodes)10458",-1.09756333079484
"factor(sample.precip.zip$zipcodes)10459",-0.68331971973877
"factor(sample.precip.zip$zipcodes)10460",-1.45339102026311
"factor(sample.precip.zip$zipcodes)10461",-0.199584218386845
"factor(sample.precip.zip$zipcodes)10462",-0.455735935496897
"factor(sample.precip.zip$zipcodes)10463",-1.52962439502972
"factor(sample.precip.zip$zipcodes)10465",0.752472874594959
"factor(sample.precip.zip$zipcodes)10466",-2.060747778979
"factor(sample.precip.zip$zipcodes)10467",-1.07304223516145
"factor(sample.precip.zip$zipcodes)10468",-1.47270791588516
"factor(sample.precip.zip$zipcodes)10469",-2.40147224216835
"factor(sample.precip.zip$zipcodes)10470",-2.77219670535758
"factor(sample.precip.zip$zipcodes)10471",-0.874967311927408
"factor(sample.precip.zip$zipcodes)10472",-0.661953155239776
"factor(sample.precip.zip$zipcodes)10473",-1.63002585553323
"factor(sample.precip.zip$zipcodes)10474",-0.0331202408805937
"factor(sample.precip.zip$zipcodes)10475",-0.111881470844225
"factor(sample.precip.zip$zipcodes)10499",0.508274622566283
"factor(sample.precip.zip$zipcodes)10701",-1.85219670535708
"factor(sample.precip.zip$zipcodes)11101",-0.192207940990093
"factor(sample.precip.zip$zipcodes)11102",-1.00313909357201
"factor(sample.precip.zip$zipcodes)11103",-0.999709974202388
"factor(sample.precip.zip$zipcodes)11104",-0.837178791075205
"factor(sample.precip.zip$zipcodes)11105",-0.986085228516889
"factor(sample.precip.zip$zipcodes)11106",-0.795066745433267
"factor(sample.precip.zip$zipcodes)11109",0.188769245561679
"factor(sample.precip.zip$zipcodes)11201",-0.492856351258418
"factor(sample.precip.zip$zipcodes)11202",-1.27526734326316
"factor(sample.precip.zip$zipcodes)11203",-1.24295094001577
"factor(sample.precip.zip$zipcodes)11204",-0.972196705357297
"factor(sample.precip.zip$zipcodes)11205",-0.755829766066779
"factor(sample.precip.zip$zipcodes)11206",-0.77189500224634
"factor(sample.precip.zip$zipcodes)11207",-0.250365570389138
"factor(sample.precip.zip$zipcodes)11208",4.80736273457924
"factor(sample.precip.zip$zipcodes)11209",2.89138998942662
"factor(sample.precip.zip$zipcodes)11210",-0.28400921685389
"factor(sample.precip.zip$zipcodes)11211",-0.567681618876803
"factor(sample.precip.zip$zipcodes)11212",-0.461011220138244
"factor(sample.precip.zip$zipcodes)11213",-0.276205815863694
"factor(sample.precip.zip$zipcodes)11214",4.89141799135828
"factor(sample.precip.zip$zipcodes)11215",0.220551591324801
"factor(sample.precip.zip$zipcodes)11216",-0.869681794181644
"factor(sample.precip.zip$zipcodes)11217",-0.654258256125292
"factor(sample.precip.zip$zipcodes)11218",-0.833492678808619
