zipcode,snow,rain,fitted_distance
11954,1,0,1.708229972
11954,0,0,1.724010439
11954,0,1,1.765459365
11954,0,0,1.724010439
11954,0,1,1.765459365
11954,0,0,1.724010439
11954,0,1,1.765459365
11954,0,0,1.724010439
14736,0,0,1.7
11224,0,0,6.050641428
11224,0,1,6.092090354
11224,0,1,6.092090354
11224,0,0,6.050641428
11224,0,1,6.092090354
11224,1,0,6.03486096
11224,0,0,6.050641428
11235,0,0,2.067660118
11224,0,0,6.050641428
11224,1,0,6.03486096
11224,0,0,6.050641428
11224,0,0,6.050641428
11224,0,0,6.050641428
11224,1,0,6.03486096
11224,0,1,6.092090354
11224,0,0,6.050641428
10306,1,0,0.16
11224,0,0,6.050641428
11224,0,0,6.050641428
11235,0,0,2.067660118
11235,0,1,2.109109045
11235,0,0,2.067660118
11235,0,1,2.109109045
11235,0,0,2.067660118
11235,0,1,2.109109045
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,0,1,2.109109045
11235,0,1,2.109109045
11235,0,1,2.109109045
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,0,1,2.109109045
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,0,1,2.109109045
11235,0,0,2.067660118
11235,1,0,2.051879651
11235,1,0,2.051879651
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,0,1,2.109109045
11235,0,0,2.067660118
11235,1,0,2.051879651
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,0,1,2.109109045
11235,0,0,2.067660118
11235,0,0,2.067660118
11235,1,0,2.051879651
11235,1,0,2.051879651
11235,1,0,2.051879651
11235,0,1,2.109109045
11214,0,1,8.523614697
11229,0,1,4.178614697
11214,1,0,8.466385303
11229,1,0,4.121385303
11223,0,0,1.127890234
11223,1,0,1.112109766
11230,0,0,2.757403063
11230,0,1,2.798851989
11230,0,0,2.757403063
11230,0,0,2.757403063
11230,0,0,2.757403063
11204,0,1,2.66
11230,0,0,2.757403063
11234,0,0,3.506413305
11210,0,0,3.306738562
11204,0,1,2.66
11210,0,1,3.348187489
11209,0,1,6.523586695
11209,0,0,6.482137768
11210,1,0,3.290958095
10303,0,0,4.155260156
11228,1,0,1.19
11230,0,0,2.757403063
11234,0,1,3.547862232
11210,0,1,3.348187489
11209,0,0,6.482137768
11234,0,1,3.547862232
10303,0,0,4.155260156
11230,0,1,2.798851989
11210,0,0,3.306738562
11209,0,0,6.482137768
11210,0,0,3.306738562
11210,0,0,3.306738562
11236,0,1,2.353737188
11210,0,0,3.306738562
11210,1,0,3.290958095
11230,1,0,2.741622595
11210,1,0,3.290958095
11210,0,0,3.306738562
11210,1,0,3.290958095
11210,0,1,3.348187489
11236,0,0,2.312288261
11210,0,0,3.306738562
11234,0,1,3.547862232
11236,0,0,2.312288261
11230,0,0,2.757403063
11230,0,1,2.798851989
11210,1,0,3.290958095
11210,0,0,3.306738562
11220,0,0,3.567616786
11220,0,0,3.567616786
11220,0,0,3.567616786
11226,0,0,2.97425
11236,0,0,2.312288261
11203,0,1,2.389245765
11226,1,0,2.958469533
11210,0,0,3.306738562
11202,0,0,2.315480436
11218,0,1,2.798704027
11218,0,1,2.798704027
11219,0,0,2.858582885
11220,0,1,3.609065712
11218,1,0,2.741474633
11236,0,0,2.312288261
11226,0,1,3.015698926
11236,1,0,2.296507794
11226,1,0,2.958469533
11202,1,0,2.299699969
11203,0,1,2.389245765
11218,0,0,2.7572551
11218,0,0,2.7572551
11219,0,1,2.900031812
11430,0,0,7.961156093
11219,1,0,2.842802418
11430,1,0,7.945375626
11232,0,1,3.290683418
11220,0,0,3.567616786
11202,0,1,2.356929362
11232,0,0,3.249234491
11226,1,0,2.958469533
11232,0,0,3.249234491
11430,0,0,7.961156093
11203,0,0,2.347796839
11109,0,0,3.779517025
11203,1,0,2.332016372
11225,0,0,2.925089085
11225,0,0,2.925089085
11232,1,0,3.233454024
11225,1,0,2.909308618
11225,0,1,2.966538012
11232,1,0,3.233454024
11212,0,1,3.171185485
11212,0,0,3.129736559
11215,0,0,3.81129937
11286,0,1,5.760655148
11212,0,0,3.129736559
11215,0,1,3.852748297
11215,0,1,3.852748297
11213,0,0,3.314541963
11109,0,1,3.820965951
11215,0,0,3.81129937
11286,1,0,5.703425754
11213,0,1,3.355990889
11212,0,0,3.129736559
11225,0,0,2.925089085
11286,0,0,5.719206221
11207,0,0,3.340382209
11213,1,0,3.298761496
11215,1,0,3.795518903
11207,0,1,3.381831135
11215,0,0,3.81129937
11422,0,0,11.07
11215,0,0,3.81129937
11213,0,1,3.355990889
11420,0,0,1.91E-14
11238,1,0,3.112180298
11231,0,1,3.22247714
11216,0,0,2.721065985
11216,0,1,2.762514911
11233,0,0,2.089256073
11238,0,0,3.127960765
11238,0,1,3.169409691
11231,0,0,3.181028213
11238,0,1,3.169409691
11238,1,0,3.112180298
11231,0,1,3.22247714
11417,0,0,5.631420429
11417,0,0,5.631420429
11417,0,1,5.672869356
11217,0,0,2.936489523
11517,0,0,3.244689189
11217,0,1,2.977938449
11517,1,0,3.228908722
11517,0,0,3.244689189
11517,0,1,3.286138116
11217,1,0,2.920709056
11217,0,1,2.977938449
11216,1,0,2.705285518
11216,1,0,2.705285518
11238,0,0,3.127960765
11231,1,0,3.165247746
11233,0,1,2.130705
11517,0,0,3.244689189
11517,0,1,3.286138116
11217,0,0,2.936489523
11517,0,1,3.286138116
11216,0,0,2.721065985
11208,0,1,8.43955944
11207,0,0,3.340382209
11208,1,0,8.382330047
11233,1,0,2.073475606
11208,0,0,8.398110514
11434,0,0,2.95
11231,0,0,3.181028213
11416,0,0,9.44
11762,0,0,0.7
11231,0,0,3.181028213
11221,0,1,2.950859544
11217,1,0,2.920709056
11231,1,0,3.165247746
11221,0,0,2.909410618
11217,1,0,2.920709056
11217,0,0,2.936489523
11221,0,0,2.909410618
11221,1,0,2.893630151
11201,0,0,3.097891428
11201,1,0,3.082110961
11201,1,0,3.082110961
11221,0,1,2.950859544
11205,0,0,2.834918013
11201,0,1,3.139340354
11205,0,0,2.834918013
11431,0,0,0.05
11205,0,1,2.876366939
11205,1,0,2.819137546
11419,0,0,4.74E-14
11205,0,0,2.834918013
11421,0,1,2.701086695
11201,0,0,3.097891428
11201,1,0,3.082110961
11201,0,0,3.097891428
10303,1,0,4.139479689
11206,0,1,2.860301703
11206,0,1,2.860301703
11433,0,1,3.000724463
